source_url,source_file,rows,error
https://www.kslottery.gov/media/twphavrj/sports-wagering-monthly-detail-2026-01.pdf,data\raw\KS\2026-09-05\4b653e8b69d3b83e60ec9ee54cbc4f3d03f6080b03cd5f837627fd1fa559d666_sports-wagering-monthly-detail-2026-01.pdf,8,
https://www.kslottery.gov/media/qetawn52/sports-wagering-monthly-detail-2026-02.pdf,data\raw\KS\2026-09-05\1df773f362c0a6c453d1e0a2d2f6c7607052280b21e2681217c3b152c5af33d8_sports-wagering-monthly-detail-2026-02.pdf,8,
https://www.kslottery.gov/media/fwijvoam/sports-wagering-monthly-detail-2026-03.pdf,data\raw\KS\2026-09-05\158eb8899dfe9853c70639f710d2533129426c3c0850b33a10eea306436c1c44_sports-wagering-monthly-detail-2026-03.pdf,8,
https://www.kslottery.gov/media/jgcfqt5u/sports-wagering-monthly-detail-2026-04.pdf,data\raw\KS\2026-09-05\9bcbf613283a8eacc994f501e29e9b338710fa8bfbd383fda42abe91c219301e_sports-wagering-monthly-detail-2026-04.pdf,8,
https://www.kslottery.gov/media/nddibov2/sports-wagering-monthly-detail-2026-05.pdf,data\raw\KS\2026-09-05\fc814566f3a2a27c6f8a76f4d8526787d390751c15cc979a3c0f3fffb2b10c35_sports-wagering-monthly-detail-2026-05.pdf,8,
https://www.kslottery.gov/media/txadsfxc/sports-wagering-monthly-detail-2026-06.pdf,data\raw\KS\2026-09-05\de9ae4400086780d8922a7d149c471a3f3a90abec2180c47590c5883befbf479_sports-wagering-monthly-detail-2026-06.pdf,8,
https://www.kslottery.gov/media/dmud1szp/sports-wagering-monthly-detail-2026-07.pdf,data\raw\KS\2026-09-05\de2d681330dd859a53b5e85eb3197e898dc7d4745ff7e4c8d09b42d5771c3c96_sports-wagering-monthly-detail-2026-07.pdf,8,
https://www.kslottery.gov/media/nd3ha244/sports-wagering-monthly-detail-2025-01.pdf,data\raw\KS\2026-09-05\0fd706337609915a8a2e2913d8a807ca976ccc0a2675c15e969dae3d090ecdd9_sports-wagering-monthly-detail-2025-01.pdf,7,
https://www.kslottery.gov/media/hbhpprda/sports-wagering-monthly-detail-2025-02.pdf,data\raw\KS\2026-09-05\c515b93aa86aef752025bcae06780e6cf4bf75f9a19ea4e625b8cf77c7b016f5_sports-wagering-monthly-detail-2025-02.pdf,7,
https://www.kslottery.gov/media/ev2d1s44/sports-wagering-monthly-detail-2025-03.pdf,data\raw\KS\2026-09-05\a36dabbe1a94ca140c60a0872f7b1f8821e4d8c16efd5d27becbfd4cda4319d1_sports-wagering-monthly-detail-2025-03.pdf,7,
https://www.kslottery.gov/media/0jojcjqy/sports-wagering-monthly-detail-2025-04.pdf,data\raw\KS\2026-09-05\61f8f7d44465e61c221ca73961d830cbb106f001d87e7be615a47582050af951_sports-wagering-monthly-detail-2025-04.pdf,7,
