source_sha256,source_url,physical_pdf_page,printed_page,period_start,period_end,native_licensee,native_operator,operator,row_type,channel,frequency,handle,winnings,federal_excise_tax,adjusted_revenue,tax,reported_revenue_name,report_status,rounding_unit_usd,transcription_note
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Cumberland Run,DraftKings,DraftKings,operator,online,monthly,80859472,71866198,195337,8797937,1253706,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Ellis Park,Penn Sports Inter...,Penn Sports Inter...,operator,online,monthly,5593974,5131224,13877,448873,63964,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Kentucky Downs,Circa,Circa,operator,online,monthly,1860191,1888040,4619,-32467,0,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Oak Grove,Fanatics,Fanatics,operator,online,monthly,12146590,10896562,29003,1221025,173996,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Red Mile,Caesars,Caesars,operator,online,monthly,8823570,7979724,21514,822332,117182,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Sandy's,bet365,bet365,operator,online,monthly,22817250,20782594,55689,1978967,282003,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Sandy's,BetMGM,BetMGM,operator,online,monthly,11005804,9953410,26578,1025816,146179,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Turfway Park,Fanduel,Fanduel,operator,online,monthly,71274991,62178652,172422,8923916,1271658,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,145,153,2025-04-01,2025-04-30,Grand Total,Grand Total,STATEWIDE,official_statewide_total,online,monthly,214381841,190676404,519039,23186399,3308688,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
1212d5f940cf94cde825af308e894b2645baaaf13936388951b41c02ed6cba16,https://khrc.ky.gov/Documents/August%202025%20Public%20Meeting%20Materials.pdf,146,154,2025-05-01,2025-05-31,Cumberland Run,DraftKings,DraftKings,operator,online,monthly,76906702,67529900,187348,9189454,1309497,Adjusted Gross Revenue,ai_checked_manual_transcription_unreviewed,1,"AI visual check of full Online table, whole-dollar source; not analyst approved. AGR includes federal excise deduction; GGR not reported. FY/all-time and Retail tables excluded."
